title,url,avg_rating,ratings
How Neural Networks Extrapolate: From Feedforward to Graph Neural Networks,https://openreview.net/forum?id=UH-cmocLJC,8.25,"['8', '9', '9', '7']"
Learning a Latent Simplex in Input Sparsity Time,https://openreview.net/forum?id=04LZCAxMSco,8,"['8', '9', '7']"
Score-Based Generative Modeling through Stochastic Differential Equations,https://openreview.net/forum?id=PxTIG12RRHS,8,"['9', '7', '8', '8']"
Theoretical Analysis of Self-Training with Deep Networks on Unlabeled Data,https://openreview.net/forum?id=rC8sJ4i6kaH,8,"['7', '7', '9', '9']"
Deformable DETR: Deformable Transformers for End-to-End Object Detection,https://openreview.net/forum?id=gZ9hCDWe6ke,8,"['7', '8', '8', '9']"
Augmenting Physical Models with Deep Networks for Complex Dynamics Forecasting,https://openreview.net/forum?id=kmG8vRXTFv,8,"['8', '7', '9']"
What Matters for On-Policy Deep Actor-Critic Methods? A Large-Scale Study,https://openreview.net/forum?id=nIAxjsniDzg,8,"['7', '9', '9', '7']"
Share or Not? Learning to Schedule Language-Specific Capacity for Multilingual Translation,https://openreview.net/forum?id=Wj4ODo0uyCF,7.75,"['8', '9', '7', '7']"
Learning Mesh-Based Simulation with Graph Networks,https://openreview.net/forum?id=roNqYL0_XP,7.75,"['10', '6', '6', '9']"
Autoregressive Entity Retrieval,https://openreview.net/forum?id=5k8F6UU39V,7.75,"['8', '8', '8', '7']"
Learning Cross-Domain Correspondence for Control with Dynamics Cycle-Consistency,https://openreview.net/forum?id=QIRlze3I6hX,7.75,"['10', '7', '8', '6']"
Predicting Infectiousness for Proactive Contact Tracing,https://openreview.net/forum?id=lVgB2FUbzuQ,7.67,"['7', '7', '9']"
Invariant Representations for Reinforcement Learning without Reconstruction,https://openreview.net/forum?id=-2FCwDKRREu,7.67,"['9', '7', '7']"
Dataset Condensation with Gradient Matching,https://openreview.net/forum?id=mSAKhLYLSsl,7.67,"['7', '9', '7']"
DiffWave: A Versatile Diffusion Model for Audio Synthesis,https://openreview.net/forum?id=a-xFK8Ymz5J,7.6,"['7', '9', '8', '7', '7']"
Complex Query Answering with Neural Link Predictors,https://openreview.net/forum?id=Mos9F9kDwkz,7.5,"['9', '6', '6', '9']"
End-to-end Adversarial Text-to-Speech,https://openreview.net/forum?id=rsf1z-JSj87,7.5,"['8', '7', '8', '7']"
Winning the L2RPN Challenge: Power Grid Management via Semi-Markov Afterstate Actor-Critic,https://openreview.net/forum?id=LmUJqB1Cz8,7.5,"['7', '9', '7', '7']"
Learning with feature dependent label noise: a progressive approach,https://openreview.net/forum?id=ZPa2SyGcbwh,7.5,"['8', '7', '8', '7']"
Deep symbolic regression: Recovering mathematical expressions from data via risk-seeking policy gradients,https://openreview.net/forum?id=m5Qsh0kBQG,7.5,"['9', '5', '8', '8']"
Global Convergence of Three-layer Neural Networks in the Mean Field Regime,https://openreview.net/forum?id=KvyxFqZS_D,7.5,"['7', '7', '7', '9']"
Parrot: Data-Driven Behavioral Priors for Reinforcement Learning,https://openreview.net/forum?id=Ysuv-WOFeKR,7.5,"['8', '7', '6', '9']"
Rethinking the Role of Gradient-based Attribution Methods for Model Interpretability,https://openreview.net/forum?id=dYeAHXnpWJ4,7.5,"['5', '7', '9', '9']"
Learning Flexible Visual Representations via Interactive Gameplay,https://openreview.net/forum?id=UuchYL8wSZo,7.5,"['8', '5', '8', '9']"
Very Deep VAEs Generalize Autoregressive Models and Can Outperform Them on Images,https://openreview.net/forum?id=RLRXCV6DbEJ,7.5,"['8', '7', '8', '7']"
Human-Level Performance in No-Press Diplomacy via Equilibrium Search,https://openreview.net/forum?id=0-uUGPbIjD,7.5,"['8', '7', '8', '7']"
Optimal Rates for Averaged Stochastic Gradient Descent under Neural Tangent Kernel Regime,https://openreview.net/forum?id=PULSD5qI2N1,7.4,"['7', '8', '8', '8', '6']"
RMSprop can converge with proper hyper-parameter,https://openreview.net/forum?id=3UDSdyIcBDA,7.33,"['6', '8', '8']"
When Do Curricula Work?,https://openreview.net/forum?id=tW4QEInpni,7.33,"['7', '8', '7']"
Distributional Sliced-Wasserstein and Applications to Generative Modeling,https://openreview.net/forum?id=QYjO70ACDK,7.33,"['6', '7', '9']"
Evolving Reinforcement Learning Algorithms,https://openreview.net/forum?id=0XXpJ4OtjW,7.33,"['9', '6', '7']"
Image GANs meet Differentiable Rendering for Inverse Graphics and Interpretable 3D Neural Rendering,https://openreview.net/forum?id=yWkP7JuHX1,7.33,"['6', '8', '8']"
EigenGame: PCA as a Nash Equilibrium,https://openreview.net/forum?id=NzTU59SYbNq,7.33,"['7', '8', '7']"
Unsupervised Object Keypoint Learning using Local Spatial Predictability,https://openreview.net/forum?id=GJwMHetHc73,7.33,"['9', '7', '6']"
